[Wed Apr 15 15:29:38.595852 2015] [:error] [pid 11786] [client 127.0.0.1:49050] PHP Warning:  preg_replace(): Unknown modifier '!' in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 65, referer: http://tadikapertiwi.net/
[Wed Apr 15 15:29:38.595882 2015] [:error] [pid 11786] [client 127.0.0.1:49050] PHP Warning:  strpos(): Offset not contained in string in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 10, referer: http://tadikapertiwi.net/
[Wed Apr 15 15:29:38.596356 2015] [:error] [pid 11786] [client 127.0.0.1:49050] PHP Warning:  preg_replace(): Unknown modifier '!' in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 65, referer: http://tadikapertiwi.net/
[Wed Apr 15 15:29:38.596377 2015] [:error] [pid 11786] [client 127.0.0.1:49050] PHP Warning:  strpos(): Offset not contained in string in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 10, referer: http://tadikapertiwi.net/
[Wed Apr 15 15:29:38.596859 2015] [:error] [pid 11786] [client 127.0.0.1:49050] PHP Warning:  preg_replace(): Unknown modifier '!' in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 65, referer: http://tadikapertiwi.net/
[Wed Apr 15 15:29:38.596882 2015] [:error] [pid 11786] [client 127.0.0.1:49050] PHP Warning:  strpos(): Offset not contained in string in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 10, referer: http://tadikapertiwi.net/
[Wed Apr 15 15:29:58.870238 2015] [:error] [pid 11775] [client 127.0.0.1:49056] PHP Warning:  preg_replace(): Unknown modifier '!' in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 65, referer: http://tadikapertiwi.net/
[Wed Apr 15 15:29:58.870291 2015] [:error] [pid 11775] [client 127.0.0.1:49056] PHP Warning:  strpos(): Offset not contained in string in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 10, referer: http://tadikapertiwi.net/
[Wed Apr 15 15:29:58.870769 2015] [:error] [pid 11775] [client 127.0.0.1:49056] PHP Warning:  preg_replace(): Unknown modifier '!' in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 65, referer: http://tadikapertiwi.net/
[Wed Apr 15 15:29:58.870792 2015] [:error] [pid 11775] [client 127.0.0.1:49056] PHP Warning:  strpos(): Offset not contained in string in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 10, referer: http://tadikapertiwi.net/
[Wed Apr 15 15:29:58.871289 2015] [:error] [pid 11775] [client 127.0.0.1:49056] PHP Warning:  preg_replace(): Unknown modifier '!' in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 65, referer: http://tadikapertiwi.net/
[Wed Apr 15 15:29:58.871318 2015] [:error] [pid 11775] [client 127.0.0.1:49056] PHP Warning:  strpos(): Offset not contained in string in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 10, referer: http://tadikapertiwi.net/
[Wed Apr 15 15:29:58.871876 2015] [:error] [pid 11775] [client 127.0.0.1:49056] PHP Warning:  preg_replace(): Unknown modifier '!' in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 65, referer: http://tadikapertiwi.net/
[Wed Apr 15 15:29:58.871903 2015] [:error] [pid 11775] [client 127.0.0.1:49056] PHP Warning:  strpos(): Offset not contained in string in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 10, referer: http://tadikapertiwi.net/
[Wed Apr 15 15:29:59.866478 2015] [:error] [pid 11775] [client 127.0.0.1:49056] PHP Warning:  preg_replace(): Unknown modifier '!' in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 65, referer: http://tadikapertiwi.net/
[Wed Apr 15 15:29:59.866528 2015] [:error] [pid 11775] [client 127.0.0.1:49056] PHP Warning:  strpos(): Offset not contained in string in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 10, referer: http://tadikapertiwi.net/
[Wed Apr 15 15:29:59.867248 2015] [:error] [pid 11775] [client 127.0.0.1:49056] PHP Warning:  preg_replace(): Unknown modifier '!' in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 65, referer: http://tadikapertiwi.net/
[Wed Apr 15 15:29:59.867282 2015] [:error] [pid 11775] [client 127.0.0.1:49056] PHP Warning:  strpos(): Offset not contained in string in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 10, referer: http://tadikapertiwi.net/
[Wed Apr 15 15:29:59.868095 2015] [:error] [pid 11775] [client 127.0.0.1:49056] PHP Warning:  preg_replace(): Unknown modifier '!' in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 65, referer: http://tadikapertiwi.net/
[Wed Apr 15 15:29:59.868134 2015] [:error] [pid 11775] [client 127.0.0.1:49056] PHP Warning:  strpos(): Offset not contained in string in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 10, referer: http://tadikapertiwi.net/
[Wed Apr 15 15:29:59.868789 2015] [:error] [pid 11775] [client 127.0.0.1:49056] PHP Warning:  preg_replace(): Unknown modifier '!' in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 65, referer: http://tadikapertiwi.net/
[Wed Apr 15 15:29:59.868818 2015] [:error] [pid 11775] [client 127.0.0.1:49056] PHP Warning:  strpos(): Offset not contained in string in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 10, referer: http://tadikapertiwi.net/
[Wed Apr 15 15:30:00.613630 2015] [:error] [pid 11775] [client 127.0.0.1:49056] PHP Warning:  preg_replace(): Unknown modifier '!' in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 65, referer: http://tadikapertiwi.net/
[Wed Apr 15 15:30:00.613682 2015] [:error] [pid 11775] [client 127.0.0.1:49056] PHP Warning:  strpos(): Offset not contained in string in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 10, referer: http://tadikapertiwi.net/
[Wed Apr 15 15:30:00.614624 2015] [:error] [pid 11775] [client 127.0.0.1:49056] PHP Warning:  preg_replace(): Unknown modifier '!' in /var/www/tadikapertiwi.net/application/views/scripts/index/index.phtml on line 65, referer: http://tadikapertiwi.net/
